Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 22 2019,8:00p,Pelicans,122,Raptors,130,Box Score,OT,20787,
Tue Oct 22 2019,10:30p,Lakers,102,Clippers,112,Box Score,,19068,
Wed Oct 23 2019,7:00p,Bulls,125,Hornets,126,Box Score,,15424,
Wed Oct 23 2019,7:00p,Pistons,119,Pacers,110,Box Score,,17923,
Wed Oct 23 2019,7:00p,Cavaliers,85,Magic,94,Box Score,,18846,
Wed Oct 23 2019,7:30p,Timberwolves,127,Nets,126,Box Score,OT,17732,
Wed Oct 23 2019,7:30p,Grizzlies,101,Heat,120,Box Score,,19600,
Wed Oct 23 2019,7:30p,Celtics,93,Sixers,107,Box Score,,20422,
Wed Oct 23 2019,8:30p,Wizards,100,Mavericks,108,Box Score,,19816,
Wed Oct 23 2019,8:30p,Knicks,111,Spurs,120,Box Score,,18354,
Wed Oct 23 2019,9:00p,Thunder,95,Jazz,100,Box Score,,18306,
Wed Oct 23 2019,10:00p,Kings,95,Suns,124,Box Score,,18055,
Wed Oct 23 2019,10:00p,Nuggets,108,Blazers,100,Box Score,,19991,
Thu Oct 24 2019,7:00p,Hawks,117,Pistons,100,Box Score,,20338,
Thu Oct 24 2019,8:00p,Bucks,117,Rockets,111,Box Score,,18055,
Thu Oct 24 2019,10:30p,Clippers,141,Warriors,122,Box Score,,18064,
Fri Oct 25 2019,7:00p,Raptors,106,Celtics,112,Box Score,,18624,
Fri Oct 25 2019,7:00p,Timberwolves,121,Hornets,99,Box Score,,14879,
Fri Oct 25 2019,7:30p,Knicks,109,Nets,113,Box Score,,17732,
Fri Oct 25 2019,8:00p,Bulls,110,Grizzlies,102,Box Score,,17794,
Fri Oct 25 2019,8:00p,Mavericks,123,Pelicans,116,Box Score,,17027,
Fri Oct 25 2019,8:00p,Wizards,97,Thunder,85,Box Score,,18203,
Fri Oct 25 2019,9:00p,Suns,107,Nuggets,108,Box Score,OT,19557,
Fri Oct 25 2019,10:00p,Blazers,122,Kings,112,Box Score,,17583,
Fri Oct 25 2019,10:30p,Jazz,86,Lakers,95,Box Score,,18997,
Sat Oct 26 2019,5:00p,Heat,131,Bucks,126,Box Score,OT,17467,
Sat Oct 26 2019,7:00p,Sixers,117,Pistons,111,Box Score,,16207,
Sat Oct 26 2019,7:30p,Magic,99,Hawks,103,Box Score,,17078,
Sat Oct 26 2019,7:30p,Celtics,118,Knicks,95,Box Score,,19812,
Sat Oct 26 2019,8:00p,Raptors,108,Bulls,84,Box Score,,21498,
Sat Oct 26 2019,8:00p,Pacers,99,Cavaliers,110,Box Score,,19432,
Sat Oct 26 2019,8:00p,Pelicans,123,Rockets,126,Box Score,,18055,
Sat Oct 26 2019,8:30p,Wizards,122,Spurs,124,Box Score,,18354,
Sat Oct 26 2019,9:00p,Kings,81,Jazz,113,Box Score,,18306,
Sat Oct 26 2019,10:00p,Clippers,122,Suns,130,Box Score,,15802,
Sun Oct 27 2019,3:30p,Warriors,92,Thunder,120,Box Score,,18203,
Sun Oct 27 2019,6:00p,Nets,133,Grizzlies,134,Box Score,OT,15517,
Sun Oct 27 2019,7:00p,Blazers,121,Mavericks,119,Box Score,,19707,
Sun Oct 27 2019,7:00p,Heat,109,Timberwolves,116,Box Score,,17049,
Sun Oct 27 2019,9:30p,Hornets,101,Lakers,120,Box Score,,18997,
Mon Oct 28 2019,7:00p,Bulls,98,Knicks,105,Box Score,,19812,
Mon Oct 28 2019,7:00p,Pacers,94,Pistons,96,Box Score,,13565,
Mon Oct 28 2019,7:30p,Magic,95,Raptors,104,Box Score,,19800,
